Nombre del juego,Creador,Publicador,Fecha de Salida
102 Dálmatas: Cachorros al rescate,Digital Eclipse Software,Eidos Interactive,21 de octubre de 2000
16 Tales,Lightspan,The Lightspan Partnership,1996
1Xtreme,Sony Interactive Studios America,SCEI,9 de septiembre de 1995diciembre de 199524 de mayo de 19961998
2002 FIFA World Cup,Electronic Arts,Electronic Arts,26 de abril de 200230 de abril de 2002
2Xtreme,Sony Interactive Studios America,SCEA,31 de octubre de 19966 de marzo de 19976 de abril de 1997
"3, 2, 1... Smurf! My First Racing Game",Artificial Mind & Movement,Infogrames,31 de diciembre del 2000Marzo de 2001
360,Smart Dog,Cryo Interactive,23 de julio de 1999
3D Baseball,Crystal Dynamics,Crystal Dynamics,31 de octubre de 199628 de febrero de 1997
3D Bouncing Ball Puzzle,,,
3D Fighting School,Agetec,ASCII Corporation,1999
3D-Kaleidoscope Baby Universe,SCEI,SCEI,20 de junio de 1997
3D Lemmings,Clockwork Games,PsygnosisSCEI,Octubre de 1995Noviembre de 1995199311 de agosto de 1996
3D Shooting Tsukuru,Success,ASCII Corporation,20 de noviembre de 1996
3x3 Eyes: Kyuusei Koushu,Nihon Create,Nihon Create,8 de noviembre de 1995
3X3 Eyes: Tenrinougenmu,Nihon Create,Nihon Create,Diciembre de 1997
3Xtreme,989 Studios,989 Studios,20 de abril de 1999
40 Winks,Eurocom,GT Interactive,14 de noviembre de 19991 de diciembre de 1999
4-4-2 Soccer,Arc Developments,Virgin Interactive,1 de agosto de 1997
4th Super Robot Wars Scramble,Banpresto,Banpresto,26 de enero de 1996
4×4 World Trophy,Infogrames,Infogrames,31 de octubre de 199919 de abril de 2000
5 Star Racing,Kung Fu,Phoenix Games,15 de noviembre de 2003
70's Robot Anime Geppy-X,SCEI,SCEI,26 de mayo de 1999
Nombre del juego,Creador,Publicador,Fecha de Salida
A-Train III,Artdink,Maxis,22 de noviembre de 19951 de febrero de 1996Noviembre de 1996
A-Train IV A.IV Evolution,Artdink,Artdink,3 de diciembre de 1994
A-Train IV A.IV Evolution Global,Artdink,SCEE,22 de noviembre de 19951996
Abala Burn: A Battle Legend of Astterica,Tamsoft,Takara,20 de agosto de 1998
